,source,target,fraction,source_description,target_description,contingency
0,ST,AA,0.007594936708861,Make a declarative statement.,Answer in the affirmative to yes/no question.,0
1,ST,AP,0.015189873417722,Make a declarative statement.,Agree with proposition or proposal expressed by previous speaker,0
2,ST,MK,0.027848101265823,Make a declarative statement.,Mark occurrence of event (thank greet apologize congratulate etc.).,1
3,ST,OO,0.129113924050633,Make a declarative statement.,Unintelligible vocalization.,0
4,ST,PF,0.015189873417722,Make a declarative statement.,Prohibit/forbid/protest hearer's performance of an act,1
5,ST,PR,0.032911392405063,Make a declarative statement.,Perform verbal move in game.,1
6,ST,RP,0.010126582278481,Make a declarative statement.,Request propose or suggest an action for hearer or for hearer and speaker.,1
7,ST,RT,0.058227848101266,Make a declarative statement.,Repeat or imitate other's utterance.,1
8,ST,ST,0.032911392405063,Make a declarative statement.,Make a declarative statement.,1
9,ST,TO,0.040506329113924,Make a declarative statement.,Mark transfer of object to hearer,1
10,ST,YY,0.630379746835443,Make a declarative statement.,Make a word-like utterance without clear function.,0
11,YA,AA,0.230769230769231,Answer a question with a yes/no question.,Answer in the affirmative to yes/no question.,1
12,YA,YY,0.769230769230769,Answer a question with a yes/no question.,Make a word-like utterance without clear function.,0
13,YQ,AA,0.119047619047619,Ask a yes/no question.,Answer in the affirmative to yes/no question.,1
14,YQ,AN,0.035714285714286,Ask a yes/no question.,Answer in the negative to yes/no question,1
15,YQ,MK,0.029761904761905,Ask a yes/no question.,Mark occurrence of event (thank greet apologize congratulate etc.).,0
16,YQ,OO,0.083333333333333,Ask a yes/no question.,Unintelligible vocalization.,0
17,YQ,PR,0.023809523809524,Ask a yes/no question.,Perform verbal move in game.,0
18,YQ,RP,0.017857142857143,Ask a yes/no question.,Request propose or suggest an action for hearer or for hearer and speaker.,0
19,YQ,RT,0.017857142857143,Ask a yes/no question.,Repeat or imitate other's utterance.,0
20,YQ,ST,0.035714285714286,Ask a yes/no question.,Make a declarative statement.,0
21,YQ,TO,0.047619047619048,Ask a yes/no question.,Mark transfer of object to hearer,0
22,YQ,YY,0.589285714285714,Ask a yes/no question.,Make a word-like utterance without clear function.,0
23,RP,AD,0.014051522248244,Request propose or suggest an action for hearer or for hearer and speaker.,Agree to carry out an act requested or proposed by other.,1
24,RP,MK,0.030444964871194,Request propose or suggest an action for hearer or for hearer and speaker.,Mark occurrence of event (thank greet apologize congratulate etc.).,0
25,RP,OO,0.112412177985949,Request propose or suggest an action for hearer or for hearer and speaker.,Unintelligible vocalization.,0
26,RP,PF,0.039812646370024,Request propose or suggest an action for hearer or for hearer and speaker.,Prohibit/forbid/protest hearer's performance of an act,1
27,RP,PR,0.007025761124122,Request propose or suggest an action for hearer or for hearer and speaker.,Perform verbal move in game.,1
28,RP,RD,0.053864168618267,Request propose or suggest an action for hearer or for hearer and speaker.,Refuse to carry out an act requested or proposed by other.,1
29,RP,RP,0.014051522248244,Request propose or suggest an action for hearer or for hearer and speaker.,Request propose or suggest an action for hearer or for hearer and speaker.,0
30,RP,ST,0.02576112412178,Request propose or suggest an action for hearer or for hearer and speaker.,Make a declarative statement.,0
31,RP,TO,0.030444964871194,Request propose or suggest an action for hearer or for hearer and speaker.,Mark transfer of object to hearer,0
32,RP,YY,0.672131147540984,Request propose or suggest an action for hearer or for hearer and speaker.,Make a word-like utterance without clear function.,0
33,RQ,AD,0.074626865671642,Yes/no question or suggestion about hearer's wishes and intentions,Agree to carry out an act requested or proposed by other.,0
34,RQ,OO,0.08955223880597,Yes/no question or suggestion about hearer's wishes and intentions,Unintelligible vocalization.,0
35,RQ,PF,0.022388059701493,Yes/no question or suggestion about hearer's wishes and intentions,Prohibit/forbid/protest hearer's performance of an act,0
36,RQ,RD,0.097014925373134,Yes/no question or suggestion about hearer's wishes and intentions,Refuse to carry out an act requested or proposed by other.,0
37,RQ,ST,0.029850746268657,Yes/no question or suggestion about hearer's wishes and intentions,Make a declarative statement.,0
38,RQ,YY,0.686567164179104,Yes/no question or suggestion about hearer's wishes and intentions,Make a word-like utterance without clear function.,0
39,MK,MK,0.061855670103093,Mark occurrence of event (thank greet apologize congratulate etc.).,Mark occurrence of event (thank greet apologize congratulate etc.).,1
40,MK,OO,0.11340206185567,Mark occurrence of event (thank greet apologize congratulate etc.).,Unintelligible vocalization.,0
41,MK,PF,0.036082474226804,Mark occurrence of event (thank greet apologize congratulate etc.).,Prohibit/forbid/protest hearer's performance of an act,1
42,MK,RP,0.025773195876289,Mark occurrence of event (thank greet apologize congratulate etc.).,Request propose or suggest an action for hearer or for hearer and speaker.,1
43,MK,RT,0.020618556701031,Mark occurrence of event (thank greet apologize congratulate etc.).,Repeat or imitate other's utterance.,1
44,MK,ST,0.025773195876289,Mark occurrence of event (thank greet apologize congratulate etc.).,Make a declarative statement.,1
45,MK,TO,0.030927835051546,Mark occurrence of event (thank greet apologize congratulate etc.).,Mark transfer of object to hearer,1
46,MK,YY,0.685567010309278,Mark occurrence of event (thank greet apologize congratulate etc.).,Make a word-like utterance without clear function.,0
47,PF,MK,0.044943820224719,Prohibit/forbid/protest hearer's performance of an act,Mark occurrence of event (thank greet apologize congratulate etc.).,1
48,PF,OO,0.089887640449438,Prohibit/forbid/protest hearer's performance of an act,Unintelligible vocalization.,0
49,PF,PF,0.157303370786517,Prohibit/forbid/protest hearer's performance of an act,Prohibit/forbid/protest hearer's performance of an act,0
50,PF,RD,0.033707865168539,Prohibit/forbid/protest hearer's performance of an act,Refuse to carry out an act requested or proposed by other.,0
51,PF,RT,0.033707865168539,Prohibit/forbid/protest hearer's performance of an act,Repeat or imitate other's utterance.,1
52,PF,ST,0.033707865168539,Prohibit/forbid/protest hearer's performance of an act,Make a declarative statement.,1
53,PF,YY,0.606741573033708,Prohibit/forbid/protest hearer's performance of an act,Make a word-like utterance without clear function.,0
54,QN,MK,0.014619883040936,Ask a product-question (wh-question),Mark occurrence of event (thank greet apologize congratulate etc.).,0
55,QN,OO,0.073099415204678,Ask a product-question (wh-question),Unintelligible vocalization.,0
56,QN,PF,0.008771929824561,Ask a product-question (wh-question),Prohibit/forbid/protest hearer's performance of an act,0
57,QN,PR,0.017543859649123,Ask a product-question (wh-question),Perform verbal move in game.,0
58,QN,RD,0.014619883040936,Ask a product-question (wh-question),Refuse to carry out an act requested or proposed by other.,0
59,QN,RP,0.02046783625731,Ask a product-question (wh-question),Request propose or suggest an action for hearer or for hearer and speaker.,0
60,QN,RT,0.014619883040936,Ask a product-question (wh-question),Repeat or imitate other's utterance.,0
61,QN,SA,0.204678362573099,Ask a product-question (wh-question),Answer a wh-question with a statement.,1
62,QN,ST,0.026315789473684,Ask a product-question (wh-question),Make a declarative statement.,0
63,QN,TO,0.008771929824561,Ask a product-question (wh-question),Mark transfer of object to hearer,0
64,QN,YY,0.596491228070175,Ask a product-question (wh-question),Make a word-like utterance without clear function.,0
65,AB,OO,0.161290322580645,Approve of appropriate behavior.,Unintelligible vocalization.,0
66,AB,TO,0.096774193548387,Approve of appropriate behavior.,Mark transfer of object to hearer,1
67,AB,YY,0.741935483870968,Approve of appropriate behavior.,Make a word-like utterance without clear function.,0
68,AC,OO,0.069444444444445,Answer calls/ show attentiveness to communications.,Unintelligible vocalization.,0
69,AC,YY,0.930555555555556,Answer calls/ show attentiveness to communications.,Make a word-like utterance without clear function.,0
70,AP,OO,0.1,Agree with proposition or proposal expressed by previous speaker,Unintelligible vocalization.,0
71,AP,ST,0.366666666666667,Agree with proposition or proposal expressed by previous speaker,Make a declarative statement.,0
72,AP,YY,0.533333333333333,Agree with proposition or proposal expressed by previous speaker,Make a word-like utterance without clear function.,0
73,CL,OO,0.190476190476191,Call attention to hearer by name or by substitute exclamations,Unintelligible vocalization.,0
74,CL,YY,0.80952380952381,Call attention to hearer by name or by substitute exclamations,Make a word-like utterance without clear function.,0
75,OO,OO,0.18,Unintelligible vocalization.,Unintelligible vocalization.,0
76,OO,RP,0.06,Unintelligible vocalization.,Request propose or suggest an action for hearer or for hearer and speaker.,0
77,OO,TO,0.06,Unintelligible vocalization.,Mark transfer of object to hearer,0
78,OO,YY,0.7,Unintelligible vocalization.,Make a word-like utterance without clear function.,0
79,PM,OO,0.266666666666667,Praise for motor acts i.e for nonverbal behavior.,Unintelligible vocalization.,0
80,PM,YY,0.733333333333333,Praise for motor acts i.e for nonverbal behavior.,Make a word-like utterance without clear function.,0
81,PR,OO,0.171717171717172,Perform verbal move in game.,Unintelligible vocalization.,0
82,PR,PF,0.03030303030303,Perform verbal move in game.,Prohibit/forbid/protest hearer's performance of an act,1
83,PR,PR,0.060606060606061,Perform verbal move in game.,Perform verbal move in game.,1
84,PR,RP,0.060606060606061,Perform verbal move in game.,Request propose or suggest an action for hearer or for hearer and speaker.,1
85,PR,RT,0.040404040404041,Perform verbal move in game.,Repeat or imitate other's utterance.,1
86,PR,YY,0.636363636363636,Perform verbal move in game.,Make a word-like utterance without clear function.,0
87,RR,OO,0.214285714285714,Request to repeat utterance.,Unintelligible vocalization.,0
88,RR,YY,0.785714285714286,Request to repeat utterance.,Make a word-like utterance without clear function.,0
89,RT,OO,0.181818181818182,Repeat or imitate other's utterance.,Unintelligible vocalization.,0
90,RT,YY,0.818181818181818,Repeat or imitate other's utterance.,Make a word-like utterance without clear function.,0
91,SA,OO,0.142857142857143,Answer a wh-question with a statement.,Unintelligible vocalization.,0
92,SA,PR,0.178571428571429,Answer a wh-question with a statement.,Perform verbal move in game.,1
93,SA,YY,0.678571428571429,Answer a wh-question with a statement.,Make a word-like utterance without clear function.,0
94,SI,OO,0.119047619047619,State intent to carry out act by speaker.,Unintelligible vocalization.,0
95,SI,YY,0.880952380952381,State intent to carry out act by speaker.,Make a word-like utterance without clear function.,0
96,TX,OO,0.135135135135135,Read or recite written text aloud.,Unintelligible vocalization.,0
97,TX,YY,0.864864864864865,Read or recite written text aloud.,Make a word-like utterance without clear function.,0
98,XA,OO,0.102564102564103,Exhibit attentiveness to hearer.,Unintelligible vocalization.,0
99,XA,TO,0.076923076923077,Exhibit attentiveness to hearer.,Mark transfer of object to hearer,1
100,XA,YY,0.82051282051282,Exhibit attentiveness to hearer.,Make a word-like utterance without clear function.,0
101,GR,PF,0.375,Give reason/ justify a request for an action refusal or prohibition,Prohibit/forbid/protest hearer's performance of an act,0
102,GR,YY,0.625,Give reason/ justify a request for an action refusal or prohibition,Make a word-like utterance without clear function.,0
103,EA,PR,0.484848484848485,Elicit onomatopoeic or animal sounds.,Perform verbal move in game.,1
104,EA,YY,0.515151515151515,Elicit onomatopoeic or animal sounds.,Make a word-like utterance without clear function.,0
105,EI,PR,0.210526315789474,Elicit imitation of word or sentence by modelling or by explicit command,Perform verbal move in game.,1
106,EI,RT,0.526315789473684,Elicit imitation of word or sentence by modelling or by explicit command,Repeat or imitate other's utterance.,1
107,EI,YY,0.263157894736842,Elicit imitation of word or sentence by modelling or by explicit command,Make a word-like utterance without clear function.,0
108,CT,RT,0.333333333333333,Correct provide correct verbal form in place of erroneous one.,Repeat or imitate other's utterance.,1
109,CT,YY,0.666666666666667,Correct provide correct verbal form in place of erroneous one.,Make a word-like utterance without clear function.,0
110,SS,ST,0.176470588235294,Signal to start performing an act such as running or rolling a ball,Make a declarative statement.,0
111,SS,YY,0.823529411764706,Signal to start performing an act such as running or rolling a ball,Make a word-like utterance without clear function.,0
112,AA,YY,1,Answer in the affirmative to yes/no question.,Make a word-like utterance without clear function.,0
113,AD,YY,1,Agree to carry out an act requested or proposed by other.,Make a word-like utterance without clear function.,0
114,CM,YY,1,Commiserate express sympathy for hearer's distress.,Make a word-like utterance without clear function.,0
115,CR,YY,1,Criticize or point out error in nonverbal act.,Make a word-like utterance without clear function.,0
116,CS,YY,1,Counter-suggestion/ an indirect refusal.,Make a word-like utterance without clear function.,0
117,DS,YY,1,Disapprove scold protest disruptive behavior.,Make a word-like utterance without clear function.,0
118,EQ,YY,1,Eliciting question (e.g. hmm?).,Make a word-like utterance without clear function.,0
119,ET,YY,1,Express enthusiasm for hearer's performance.,Make a word-like utterance without clear function.,0
120,GI,YY,1,Give in/ accept other's insistence or refusal.,Make a word-like utterance without clear function.,0
121,PA,YY,1,Permit hearer to perform act.,Make a word-like utterance without clear function.,0
122,TO,YY,1,Mark transfer of object to hearer,Make a word-like utterance without clear function.,0
123,WD,YY,1,Warn of danger.,Make a word-like utterance without clear function.,0
124,YY,YY,1,Make a word-like utterance without clear function.,Make a word-like utterance without clear function.,0
,,,,,,
,ST,AA,0.014209591474245,Make a declarative statement.,Answer in the affirmative to yes/no question.,0
,ST,AC,0.02841918294849,Make a declarative statement.,Answer calls/ show attentiveness to communications.,0
,ST,AP,0.017761989342806,Make a declarative statement.,Agree with proposition or proposal expressed by previous speaker,0
,ST,CL,0.015985790408526,Make a declarative statement.,Call attention to hearer by name or by substitute exclamations,1
,ST,MK,0.039076376554174,Make a declarative statement.,Mark occurrence of event (thank greet apologize congratulate etc.).,1
,ST,OO,0.042628774422735,Make a declarative statement.,Unintelligible vocalization.,0
,ST,PF,0.012433392539965,Make a declarative statement.,Prohibit/forbid/protest hearer's performance of an act,1
,ST,PR,0.024866785079929,Make a declarative statement.,Perform verbal move in game.,1
,ST,QN,0.030195381882771,Make a declarative statement.,Ask a product-question (wh-question),1
,ST,RD,0.008880994671403,Make a declarative statement.,Refuse to carry out an act requested or proposed by other.,0
,ST,RP,0.08170515097691,Make a declarative statement.,Request propose or suggest an action for hearer or for hearer and speaker.,1
,ST,RT,0.119005328596803,Make a declarative statement.,Repeat or imitate other's utterance.,1
,ST,SI,0.044404973357016,Make a declarative statement.,State intent to carry out act by speaker.,1
,ST,ST,0.186500888099467,Make a declarative statement.,Make a declarative statement.,1
,ST,TO,0.019538188277087,Make a declarative statement.,Mark transfer of object to hearer,1
,ST,YQ,0.031971580817052,Make a declarative statement.,Ask a yes/no question.,1
,ST,YY,0.282415630550622,Make a declarative statement.,Make a word-like utterance without clear function.,0
,YA,AA,1,Answer a question with a yes/no question.,Answer in the affirmative to yes/no question.,1
,YQ,AA,0.425474254742547,Ask a yes/no question.,Answer in the affirmative to yes/no question.,1
,YQ,AN,0.073170731707317,Ask a yes/no question.,Answer in the negative to yes/no question,1
,YQ,MK,0.016260162601626,Ask a yes/no question.,Mark occurrence of event (thank greet apologize congratulate etc.).,0
,YQ,OO,0.02710027100271,Ask a yes/no question.,Unintelligible vocalization.,0
,YQ,RD,0.016260162601626,Ask a yes/no question.,Refuse to carry out an act requested or proposed by other.,0
,YQ,RP,0.056910569105691,Ask a yes/no question.,Request propose or suggest an action for hearer or for hearer and speaker.,0
,YQ,RR,0.018970189701897,Ask a yes/no question.,Request to repeat utterance.,1
,YQ,RT,0.040650406504065,Ask a yes/no question.,Repeat or imitate other's utterance.,0
,YQ,SI,0.016260162601626,Ask a yes/no question.,State intent to carry out act by speaker.,0
,YQ,ST,0.062330623306233,Ask a yes/no question.,Make a declarative statement.,0
,YQ,YY,0.246612466124661,Ask a yes/no question.,Make a word-like utterance without clear function.,0
,RP,AC,0.011513157894737,Request propose or suggest an action for hearer or for hearer and speaker.,Answer calls/ show attentiveness to communications.,0
,RP,AD,0.092105263157895,Request propose or suggest an action for hearer or for hearer and speaker.,Agree to carry out an act requested or proposed by other.,1
,RP,CL,0.013157894736842,Request propose or suggest an action for hearer or for hearer and speaker.,Call attention to hearer by name or by substitute exclamations,0
,RP,CS,0.047697368421053,Request propose or suggest an action for hearer or for hearer and speaker.,Counter-suggestion/ an indirect refusal.,1
,RP,MK,0.026315789473684,Request propose or suggest an action for hearer or for hearer and speaker.,Mark occurrence of event (thank greet apologize congratulate etc.).,0
,RP,OO,0.046052631578947,Request propose or suggest an action for hearer or for hearer and speaker.,Unintelligible vocalization.,0
,RP,PF,0.024671052631579,Request propose or suggest an action for hearer or for hearer and speaker.,Prohibit/forbid/protest hearer's performance of an act,0
,RP,PR,0.008223684210526,Request propose or suggest an action for hearer or for hearer and speaker.,Perform verbal move in game.,1
,RP,QN,0.019736842105263,Request propose or suggest an action for hearer or for hearer and speaker.,Ask a product-question (wh-question),0
,RP,RD,0.143092105263158,Request propose or suggest an action for hearer or for hearer and speaker.,Refuse to carry out an act requested or proposed by other.,1
,RP,RP,0.0625,Request propose or suggest an action for hearer or for hearer and speaker.,Request propose or suggest an action for hearer or for hearer and speaker.,0
,RP,RR,0.014802631578947,Request propose or suggest an action for hearer or for hearer and speaker.,Request to repeat utterance.,1
,RP,RT,0.046052631578947,Request propose or suggest an action for hearer or for hearer and speaker.,Repeat or imitate other's utterance.,0
,RP,SI,0.018092105263158,Request propose or suggest an action for hearer or for hearer and speaker.,State intent to carry out act by speaker.,1
,RP,ST,0.100328947368421,Request propose or suggest an action for hearer or for hearer and speaker.,Make a declarative statement.,0
,RP,TO,0.018092105263158,Request propose or suggest an action for hearer or for hearer and speaker.,Mark transfer of object to hearer,0
,RP,YQ,0.023026315789474,Request propose or suggest an action for hearer or for hearer and speaker.,Ask a yes/no question.,0
,RP,YY,0.28453947368421,Request propose or suggest an action for hearer or for hearer and speaker.,Make a word-like utterance without clear function.,0
,SS,AC,0.222222222222222,Signal to start performing an act such as running or rolling a ball,Answer calls/ show attentiveness to communications.,1
,SS,RD,0.185185185185185,Signal to start performing an act such as running or rolling a ball,Refuse to carry out an act requested or proposed by other.,1
,SS,YY,0.592592592592593,Signal to start performing an act such as running or rolling a ball,Make a word-like utterance without clear function.,0
,RQ,AD,0.405882352941177,Yes/no question or suggestion about hearer's wishes and intentions,Agree to carry out an act requested or proposed by other.,1
,RQ,CS,0.032352941176471,Yes/no question or suggestion about hearer's wishes and intentions,Counter-suggestion/ an indirect refusal.,1
,RQ,OO,0.023529411764706,Yes/no question or suggestion about hearer's wishes and intentions,Unintelligible vocalization.,0
,RQ,RD,0.211764705882353,Yes/no question or suggestion about hearer's wishes and intentions,Refuse to carry out an act requested or proposed by other.,1
,RQ,RP,0.035294117647059,Yes/no question or suggestion about hearer's wishes and intentions,Request propose or suggest an action for hearer or for hearer and speaker.,0
,RQ,RT,0.041176470588235,Yes/no question or suggestion about hearer's wishes and intentions,Repeat or imitate other's utterance.,0
,RQ,SI,0.014705882352941,Yes/no question or suggestion about hearer's wishes and intentions,State intent to carry out act by speaker.,1
,RQ,ST,0.052941176470588,Yes/no question or suggestion about hearer's wishes and intentions,Make a declarative statement.,0
,RQ,YY,0.182352941176471,Yes/no question or suggestion about hearer's wishes and intentions,Make a word-like utterance without clear function.,0
,PR,CL,0.04,Perform verbal move in game.,Call attention to hearer by name or by substitute exclamations,0
,PR,OO,0.056,Perform verbal move in game.,Unintelligible vocalization.,0
,PR,PR,0.176,Perform verbal move in game.,Perform verbal move in game.,1
,PR,RP,0.096,Perform verbal move in game.,Request propose or suggest an action for hearer or for hearer and speaker.,1
,PR,RT,0.104,Perform verbal move in game.,Repeat or imitate other's utterance.,1
,PR,ST,0.056,Perform verbal move in game.,Make a declarative statement.,0
,PR,YY,0.472,Perform verbal move in game.,Make a word-like utterance without clear function.,0
,CS,CS,1,Counter-suggestion/ an indirect refusal.,Counter-suggestion/ an indirect refusal.,1
,MK,MK,0.069767441860465,Mark occurrence of event (thank greet apologize congratulate etc.).,Mark occurrence of event (thank greet apologize congratulate etc.).,1
,MK,OO,0.065116279069768,Mark occurrence of event (thank greet apologize congratulate etc.).,Unintelligible vocalization.,0
,MK,PF,0.032558139534884,Mark occurrence of event (thank greet apologize congratulate etc.).,Prohibit/forbid/protest hearer's performance of an act,0
,MK,RD,0.023255813953488,Mark occurrence of event (thank greet apologize congratulate etc.).,Refuse to carry out an act requested or proposed by other.,0
,MK,RP,0.134883720930233,Mark occurrence of event (thank greet apologize congratulate etc.).,Request propose or suggest an action for hearer or for hearer and speaker.,1
,MK,RT,0.046511627906977,Mark occurrence of event (thank greet apologize congratulate etc.).,Repeat or imitate other's utterance.,1
,MK,SI,0.06046511627907,Mark occurrence of event (thank greet apologize congratulate etc.).,State intent to carry out act by speaker.,1
,MK,ST,0.218604651162791,Mark occurrence of event (thank greet apologize congratulate etc.).,Make a declarative statement.,1
,MK,TO,0.032558139534884,Mark occurrence of event (thank greet apologize congratulate etc.).,Mark transfer of object to hearer,1
,MK,YY,0.316279069767442,Mark occurrence of event (thank greet apologize congratulate etc.).,Make a word-like utterance without clear function.,0
,QN,MK,0.016317016317016,Ask a product-question (wh-question),Mark occurrence of event (thank greet apologize congratulate etc.).,0
,QN,OO,0.036130536130536,Ask a product-question (wh-question),Unintelligible vocalization.,0
,QN,PR,0.012820512820513,Ask a product-question (wh-question),Perform verbal move in game.,0
,QN,QN,0.009324009324009,Ask a product-question (wh-question),Ask a product-question (wh-question),0
,QN,RD,0.006993006993007,Ask a product-question (wh-question),Refuse to carry out an act requested or proposed by other.,0
,QN,RP,0.03962703962704,Ask a product-question (wh-question),Request propose or suggest an action for hearer or for hearer and speaker.,0
,QN,RT,0.023310023310023,Ask a product-question (wh-question),Repeat or imitate other's utterance.,0
,QN,SA,0.583916083916084,Ask a product-question (wh-question),Answer a wh-question with a statement.,1
,QN,SI,0.015151515151515,Ask a product-question (wh-question),State intent to carry out act by speaker.,0
,QN,ST,0.052447552447553,Ask a product-question (wh-question),Make a declarative statement.,0
,QN,YY,0.203962703962704,Ask a product-question (wh-question),Make a word-like utterance without clear function.,0
,AC,OO,0.075949367088608,Answer calls/ show attentiveness to communications.,Unintelligible vocalization.,0
,AC,RP,0.113924050632911,Answer calls/ show attentiveness to communications.,Request propose or suggest an action for hearer or for hearer and speaker.,1
,AC,ST,0.367088607594937,Answer calls/ show attentiveness to communications.,Make a declarative statement.,1
,AC,YY,0.443037974683544,Answer calls/ show attentiveness to communications.,Make a word-like utterance without clear function.,0
,AP,OO,0.0546875,Agree with proposition or proposal expressed by previous speaker,Unintelligible vocalization.,0
,AP,PR,0.0546875,Agree with proposition or proposal expressed by previous speaker,Perform verbal move in game.,1
,AP,RP,0.0390625,Agree with proposition or proposal expressed by previous speaker,Request propose or suggest an action for hearer or for hearer and speaker.,1
,AP,RT,0.0859375,Agree with proposition or proposal expressed by previous speaker,Repeat or imitate other's utterance.,0
,AP,SA,0.0546875,Agree with proposition or proposal expressed by previous speaker,Answer a wh-question with a statement.,0
,AP,ST,0.46875,Agree with proposition or proposal expressed by previous speaker,Make a declarative statement.,1
,AP,YY,0.2421875,Agree with proposition or proposal expressed by previous speaker,Make a word-like utterance without clear function.,0
,FP,PA,0.571428571428571,Ask for permission to carry out act.,Permit hearer to perform act.,1
,FP,PF,0.428571428571429,Ask for permission to carry out act.,Prohibit/forbid/protest hearer's performance of an act,1
,PF,PF,0.214285714285714,Prohibit/forbid/protest hearer's performance of an act,Prohibit/forbid/protest hearer's performance of an act,0
,PF,RP,0.166666666666667,Prohibit/forbid/protest hearer's performance of an act,Request propose or suggest an action for hearer or for hearer and speaker.,1
,PF,ST,0.190476190476191,Prohibit/forbid/protest hearer's performance of an act,Make a declarative statement.,1
,PF,YY,0.428571428571429,Prohibit/forbid/protest hearer's performance of an act,Make a word-like utterance without clear function.,0
,SI,PF,0.111111111111111,State intent to carry out act by speaker.,Prohibit/forbid/protest hearer's performance of an act,1
,SI,RP,0.185185185185185,State intent to carry out act by speaker.,Request propose or suggest an action for hearer or for hearer and speaker.,0
,SI,RT,0.166666666666667,State intent to carry out act by speaker.,Repeat or imitate other's utterance.,0
,SI,ST,0.111111111111111,State intent to carry out act by speaker.,Make a declarative statement.,1
,SI,YY,0.425925925925926,State intent to carry out act by speaker.,Make a word-like utterance without clear function.,0
,EA,PR,0.791666666666667,Elicit onomatopoeic or animal sounds.,Perform verbal move in game.,1
,EA,ST,0.069444444444445,Elicit onomatopoeic or animal sounds.,Make a declarative statement.,1
,EA,YY,0.138888888888889,Elicit onomatopoeic or animal sounds.,Make a word-like utterance without clear function.,0
,SA,QN,0.233333333333333,Answer a wh-question with a statement.,Ask a product-question (wh-question),1
,SA,RT,0.433333333333333,Answer a wh-question with a statement.,Repeat or imitate other's utterance.,1
,SA,YY,0.333333333333333,Answer a wh-question with a statement.,Make a word-like utterance without clear function.,0
,AD,RP,0.243243243243243,Agree to carry out an act requested or proposed by other.,Request propose or suggest an action for hearer or for hearer and speaker.,1
,AD,SI,0.216216216216216,Agree to carry out an act requested or proposed by other.,State intent to carry out act by speaker.,1
,AD,ST,0.135135135135135,Agree to carry out an act requested or proposed by other.,Make a declarative statement.,1
,AD,YY,0.405405405405405,Agree to carry out an act requested or proposed by other.,Make a word-like utterance without clear function.,0
,PD,RP,1,Promise.,Request propose or suggest an action for hearer or for hearer and speaker.,1
,RR,RP,0.092592592592593,Request to repeat utterance.,Request propose or suggest an action for hearer or for hearer and speaker.,0
,RR,SA,0.092592592592593,Request to repeat utterance.,Answer a wh-question with a statement.,0
,RR,ST,0.240740740740741,Request to repeat utterance.,Make a declarative statement.,0
,RR,YY,0.574074074074074,Request to repeat utterance.,Make a word-like utterance without clear function.,0
,CT,RT,0.590909090909091,Correct provide correct verbal form in place of erroneous one.,Repeat or imitate other's utterance.,1
,CT,ST,0.227272727272727,Correct provide correct verbal form in place of erroneous one.,Make a declarative statement.,1
,CT,YY,0.181818181818182,Correct provide correct verbal form in place of erroneous one.,Make a word-like utterance without clear function.,0
,EI,RT,0.782608695652174,Elicit imitation of word or sentence by modelling or by explicit command,Repeat or imitate other's utterance.,1
,EI,ST,0.217391304347826,Elicit imitation of word or sentence by modelling or by explicit command,Make a declarative statement.,0
,DW,SA,1,Disagree with proposition expressed by previous speaker.,Answer a wh-question with a statement.,0
,EC,SC,1,Elicit completion of word or sentence.,Complete statement or other utterance in compliance with request.,1
,PM,ST,0.277777777777778,Praise for motor acts i.e for nonverbal behavior.,Make a declarative statement.,1
,PM,YY,0.722222222222222,Praise for motor acts i.e for nonverbal behavior.,Make a word-like utterance without clear function.,0
,RT,ST,1,Repeat or imitate other's utterance.,Make a declarative statement.,1
,TX,ST,0.411764705882353,Read or recite written text aloud.,Make a declarative statement.,1
,TX,YY,0.588235294117647,Read or recite written text aloud.,Make a word-like utterance without clear function.,0
,YY,ST,0.225806451612903,Make a word-like utterance without clear function.,Make a declarative statement.,0
,YY,YY,0.774193548387097,Make a word-like utterance without clear function.,Make a word-like utterance without clear function.,0
,AB,YY,1,Approve of appropriate behavior.,Make a word-like utterance without clear function.,0
,CL,YY,1,Call attention to hearer by name or by substitute exclamations,Make a word-like utterance without clear function.,0
,EQ,YY,1,Eliciting question (e.g. hmm?).,Make a word-like utterance without clear function.,0
,ET,YY,1,Express enthusiasm for hearer's performance.,Make a word-like utterance without clear function.,0
,OO,YY,1,Unintelligible vocalization.,Make a word-like utterance without clear function.,0
,TO,YY,1,Mark transfer of object to hearer,Make a word-like utterance without clear function.,0
,,,,,,
,ST,AA,0.030888030888031,Make a declarative statement.,Answer in the affirmative to yes/no question.,0
,ST,AC,0.077220077220077,Make a declarative statement.,Answer calls/ show attentiveness to communications.,0
,ST,AD,0.011583011583012,Make a declarative statement.,Agree to carry out an act requested or proposed by other.,0
,ST,AP,0.052123552123552,Make a declarative statement.,Agree with proposition or proposal expressed by previous speaker,0
,ST,DW,0.021235521235521,Make a declarative statement.,Disagree with proposition expressed by previous speaker.,0
,ST,MK,0.05984555984556,Make a declarative statement.,Mark occurrence of event (thank greet apologize congratulate etc.).,1
,ST,OO,0.05984555984556,Make a declarative statement.,Unintelligible vocalization.,0
,ST,PR,0.021235521235521,Make a declarative statement.,Perform verbal move in game.,1
,ST,QN,0.092664092664093,Make a declarative statement.,Ask a product-question (wh-question),1
,ST,RD,0.017374517374517,Make a declarative statement.,Refuse to carry out an act requested or proposed by other.,0
,ST,RP,0.081081081081081,Make a declarative statement.,Request propose or suggest an action for hearer or for hearer and speaker.,1
,ST,RR,0.025096525096525,Make a declarative statement.,Request to repeat utterance.,1
